,gene1,gene2,gene_dis,gene_dis_corr
0,ENSMUSG00000022622,ENSMUSG00000115962,9343273.0,0.8406486142542156
1,ENSMUSG00000042622,ENSMUSG00000044678,4554418.5,0.6221091025414835
2,ENSMUSG00000000934,ENSMUSG00000022388,13254608.0,0.7138030905859762
3,ENSMUSG00000100603,ENSMUSG00000115810,21706258.0,0.6453386080986331
4,ENSMUSG00000115012,ENSMUSG00000115930,56286697.5,0.7968746103289456
5,ENSMUSG00000116263,ENSMUSG00000103130,90161042.0,0.7342357253639813
6,ENSMUSG00000103520,ENSMUSG00000067596,20174280.5,0.6332724790078738
7,ENSMUSG00000000489,ENSMUSG00000022234,48409123.5,0.6828299535095458
8,ENSMUSG00000033697,ENSMUSG00000023033,24186820.5,0.9445330927196794
9,ENSMUSG00000023050,ENSMUSG00000036760,29983640.5,0.7175644738423165
10,ENSMUSG00000097613,ENSMUSG00000036273,9942945.5,0.7355610400781976
11,ENSMUSG00000115808,ENSMUSG00000115317,1481723.0,0.6379611401946579
12,ENSMUSG00000056184,ENSMUSG00000090500,1447472.5,0.7097604383977784
13,ENSMUSG00000016552,ENSMUSG00000048385,1429271.0,0.8014119103556884
14,ENSMUSG00000048424,ENSMUSG00000022489,94498901.0,0.8867389038576846
15,ENSMUSG00000037525,ENSMUSG00000041815,16334724.5,0.7966701971788095
16,ENSMUSG00000053137,ENSMUSG00000041852,6247903.0,0.9196592549557926
17,ENSMUSG00000060530,ENSMUSG00000023018,54889550.0,0.8457001539252958
18,ENSMUSG00000015377,ENSMUSG00000037204,12098254.0,0.6768385717587831
19,ENSMUSG00000115856,ENSMUSG00000022615,10506222.5,0.7315370693684297
20,ENSMUSG00000063236,ENSMUSG00000115276,42820926.5,0.8372472019099677
21,ENSMUSG00000115063,ENSMUSG00000056069,4953300.5,0.6323540144188009
22,ENSMUSG00000023011,ENSMUSG00000060530,54694078.5,0.9494988855689356
23,ENSMUSG00000042632,ENSMUSG00000025370,62514384.0,0.800535112175282
24,ENSMUSG00000052560,ENSMUSG00000022312,38757416.5,0.7217575045992248
25,ENSMUSG00000037570,ENSMUSG00000063765,17559597.5,0.7608405021445055
26,ENSMUSG00000091650,ENSMUSG00000058613,5266859.5,0.9998749298234274
27,ENSMUSG00000044636,ENSMUSG00000016552,22538907.0,0.9095832213716104
28,ENSMUSG00000084316,ENSMUSG00000116141,62481648.5,0.7455317348809843
29,ENSMUSG00000103906,ENSMUSG00000048154,22939301.5,0.7297906335443308
30,ENSMUSG00000063727,ENSMUSG00000115278,17888982.0,0.6294190639159508
31,ENSMUSG00000116289,ENSMUSG00000116291,30262222.0,0.7502365863802836
32,ENSMUSG00000063296,ENSMUSG00000116121,15619632.5,0.8191355810061671
33,ENSMUSG00000004187,ENSMUSG00000072235,22287743.0,0.9408434942974546
34,ENSMUSG00000115946,ENSMUSG00000022408,4417986.0,0.7467824473540157
35,ENSMUSG00000115748,ENSMUSG00000022551,71063743.5,0.7646085013965951
36,ENSMUSG00000018169,ENSMUSG00000022580,3054796.0,0.6871937072743235
37,ENSMUSG00000115971,ENSMUSG00000084873,61086734.0,0.656536521192888
38,ENSMUSG00000022571,ENSMUSG00000050014,1670953.5,0.645495806900283
39,ENSMUSG00000097267,ENSMUSG00000022353,18078736.5,0.7941767457844542
40,ENSMUSG00000022615,ENSMUSG00000051518,9112020.0,0.849194920203993
41,ENSMUSG00000051853,ENSMUSG00000048154,101512.5,0.737410722376279
42,ENSMUSG00000044216,ENSMUSG00000015365,9524553.0,0.7493149074733831
43,ENSMUSG00000022315,ENSMUSG00000115868,19479163.0,0.7404120407776497
44,ENSMUSG00000001288,ENSMUSG00000059668,324592.5,0.8596450241256244
45,ENSMUSG00000022272,ENSMUSG00000044224,15259463.0,0.771980909185654
46,ENSMUSG00000116202,ENSMUSG00000115407,53114390.0,0.9141785909623575
47,ENSMUSG00000040420,ENSMUSG00000022555,53495264.0,0.6377474006955309
48,ENSMUSG00000022475,ENSMUSG00000071724,21522961.0,0.6244893139388379
49,ENSMUSG00000033029,ENSMUSG00000041815,4002379.0,0.7016379619995111
50,ENSMUSG00000101026,ENSMUSG00000055041,2125724.0,0.6677455879398411
51,ENSMUSG00000003352,ENSMUSG00000042524,18904381.5,0.6658778664412567
52,ENSMUSG00000116165,ENSMUSG00000036061,24243473.0,0.7909433762446757
53,ENSMUSG00000022367,ENSMUSG00000058354,45012025.5,0.646086675498335
54,ENSMUSG00000022387,ENSMUSG00000096210,9681156.5,0.6816391230224736
55,ENSMUSG00000022427,ENSMUSG00000038622,26950644.5,0.7446522260777281
56,ENSMUSG00000096210,ENSMUSG00000062397,42027077.0,0.648466281788969
57,ENSMUSG00000039065,ENSMUSG00000036197,61645921.0,0.6370780974437873
58,ENSMUSG00000115970,ENSMUSG00000022370,25731840.5,0.6923512153023237
59,ENSMUSG00000063548,ENSMUSG00000115261,60632575.5,0.7308796035734457
60,ENSMUSG00000022150,ENSMUSG00000036158,87177252.5,0.7523796311402605
61,ENSMUSG00000045996,ENSMUSG00000022427,43496620.5,0.9190988480562863
62,ENSMUSG00000001280,ENSMUSG00000115317,69633818.5,0.8189516116967854
63,ENSMUSG00000063875,ENSMUSG00000116298,776778.0,0.6489707183591394
64,ENSMUSG00000037343,ENSMUSG00000042564,24590624.5,0.677936836719482
65,ENSMUSG00000022435,ENSMUSG00000003970,8114648.0,0.6356304651643467
66,ENSMUSG00000062760,ENSMUSG00000097827,16051065.5,0.8710393313377883
67,ENSMUSG00000048218,ENSMUSG00000093677,38464500.0,0.7130380425188828
68,ENSMUSG00000097085,ENSMUSG00000116239,815467.5,0.6635103132518092
69,ENSMUSG00000116069,ENSMUSG00000047497,67702339.0,0.7520484728421093
70,ENSMUSG00000003354,ENSMUSG00000056258,32579257.0,0.7036508869439674
71,ENSMUSG00000033237,ENSMUSG00000022263,68468005.5,0.8030489518954338
72,ENSMUSG00000067547,ENSMUSG00000023022,93172631.0,0.6657431004944816
73,ENSMUSG00000033697,ENSMUSG00000116500,26037442.0,0.8007125901427087
74,ENSMUSG00000016664,ENSMUSG00000042622,4067258.0,0.9106180062672431
75,ENSMUSG00000033837,ENSMUSG00000022488,26807215.5,0.7544036158745121
76,ENSMUSG00000053137,ENSMUSG00000100967,4230819.0,0.8598798129332607
77,ENSMUSG00000000530,ENSMUSG00000022231,68666353.5,0.6756346804949498
78,ENSMUSG00000022421,ENSMUSG00000003354,18920213.0,0.8764816040085529
79,ENSMUSG00000022407,ENSMUSG00000022400,511614.5,0.6701909771333197
80,ENSMUSG00000035757,ENSMUSG00000048154,9756724.5,0.814383115585172
81,ENSMUSG00000001285,ENSMUSG00000022205,90345763.0,0.6532167553591999
82,ENSMUSG00000063548,ENSMUSG00000078907,13772437.5,0.7956996155361711
83,ENSMUSG00000099034,ENSMUSG00000097827,24816329.5,0.7666442411393064
84,ENSMUSG00000091709,ENSMUSG00000005124,7885092.0,0.6744089022706221
85,ENSMUSG00000116234,ENSMUSG00000051518,3735569.5,0.8379703231208887
86,ENSMUSG00000003970,ENSMUSG00000022369,21313280.5,0.9032242764622808
87,ENSMUSG00000036661,ENSMUSG00000089804,36309850.0,0.6353233060396969
88,ENSMUSG00000048230,ENSMUSG00000067615,65303934.0,0.8314092526706977
89,ENSMUSG00000084864,ENSMUSG00000022634,14397793.5,0.7153878343590315
90,ENSMUSG00000114995,ENSMUSG00000043460,47070047.5,0.7997211405477798
91,ENSMUSG00000002524,ENSMUSG00000053411,3867910.0,0.7261295498559712
92,ENSMUSG00000089639,ENSMUSG00000022471,56331998.5,0.6502260483039864
93,ENSMUSG00000023027,ENSMUSG00000023025,251320.0,0.6391585316288266
94,ENSMUSG00000115750,ENSMUSG00000049548,64702363.5,0.7238916441576723
95,ENSMUSG00000036298,ENSMUSG00000047591,15673619.5,0.702333536133444
96,ENSMUSG00000023011,ENSMUSG00000116697,21337932.5,0.7380041986093742
97,ENSMUSG00000003970,ENSMUSG00000022614,12448135.5,0.9150664310951332
98,ENSMUSG00000097915,ENSMUSG00000048755,17667898.5,0.6745726573313674
99,ENSMUSG00000023051,ENSMUSG00000022559,25983700.5,0.9068523062732424
100,ENSMUSG00000022546,ENSMUSG00000022296,37754673.0,0.7987379367253852
101,ENSMUSG00000079020,ENSMUSG00000051934,25557972.5,0.7074013154662085
102,ENSMUSG00000047003,ENSMUSG00000022554,746914.5,0.8757880648989266
103,ENSMUSG00000033099,ENSMUSG00000036966,23187095.5,0.8146177318511741
104,ENSMUSG00000097643,ENSMUSG00000001280,6631524.5,0.6940063098803635
105,ENSMUSG00000022422,ENSMUSG00000035944,30762269.0,0.8151571895425745
106,ENSMUSG00000045281,ENSMUSG00000053559,26928085.0,0.8197025837582679
107,ENSMUSG00000091198,ENSMUSG00000091412,14508132.0,0.7959863289612514
108,ENSMUSG00000016624,ENSMUSG00000042564,5186449.0,0.8898489228198351
109,ENSMUSG00000022367,ENSMUSG00000015363,32401017.5,0.676770946677316
110,ENSMUSG00000086903,ENSMUSG00000022484,23448.5,0.7962704589901041
111,ENSMUSG00000058357,ENSMUSG00000022205,68963541.0,0.8092568753211933
112,ENSMUSG00000018040,ENSMUSG00000022321,64201525.5,0.6491945179063142
113,ENSMUSG00000116396,ENSMUSG00000098203,8861924.0,0.7959647772874789
114,ENSMUSG00000043556,ENSMUSG00000036167,66726910.5,0.8598432776322623
115,ENSMUSG00000022141,ENSMUSG00000052253,17623883.5,0.8122539100541684
116,ENSMUSG00000115049,ENSMUSG00000115240,84076442.5,0.7847984272471976
117,ENSMUSG00000103047,ENSMUSG00000115155,11932177.5,0.7510751515083495
118,ENSMUSG00000023015,ENSMUSG00000096210,20606599.0,0.831950612851929
119,ENSMUSG00000115938,ENSMUSG00000115980,834216.5,0.6402976661462951
120,ENSMUSG00000054967,ENSMUSG00000115810,3494199.5,0.9211764650757752
121,ENSMUSG00000053469,ENSMUSG00000086801,8491473.0,0.6993673560986781
122,ENSMUSG00000109770,ENSMUSG00000022623,3474478.5,0.7456993081478586
123,ENSMUSG00000084864,ENSMUSG00000022619,10546377.5,0.7842698786517209
124,ENSMUSG00000100199,ENSMUSG00000057262,30424526.5,0.6225562737434456
125,ENSMUSG00000016552,ENSMUSG00000116093,14078356.5,0.6233759346235069
126,ENSMUSG00000023051,ENSMUSG00000022414,22373517.0,0.9389965365096463
127,ENSMUSG00000022598,ENSMUSG00000022359,16565933.0,0.7064511201439412
128,ENSMUSG00000052253,ENSMUSG00000115837,9797293.0,0.647295567245768
129,ENSMUSG00000061731,ENSMUSG00000010830,26316976.5,0.6812593325237244
130,ENSMUSG00000022466,ENSMUSG00000116250,2012859.0,0.6723392651423756
131,ENSMUSG00000116069,ENSMUSG00000035944,6936214.5,0.7759143866683242
132,ENSMUSG00000005125,ENSMUSG00000059883,27613250.0,0.6233330181357426
133,ENSMUSG00000022313,ENSMUSG00000033287,26552912.0,0.63810635763043
134,ENSMUSG00000097267,ENSMUSG00000115012,46128267.0,0.7666828807355693
135,ENSMUSG00000116127,ENSMUSG00000075394,22798368.0,0.7742298357411315
136,ENSMUSG00000038879,ENSMUSG00000045665,67654598.5,0.8329454724267177
137,ENSMUSG00000053929,ENSMUSG00000050164,4585475.5,0.6406732294993124
138,ENSMUSG00000060036,ENSMUSG00000068114,2050233.0,0.7023035824598219
139,ENSMUSG00000086992,ENSMUSG00000050963,2586893.0,0.6637506154517503
140,ENSMUSG00000022246,ENSMUSG00000023008,88702057.0,0.8897106435406342
141,ENSMUSG00000092325,ENSMUSG00000093849,21696622.5,0.6934522835618154
142,ENSMUSG00000097267,ENSMUSG00000022999,21820718.0,0.9487902859971302
143,ENSMUSG00000046761,ENSMUSG00000060992,27278576.5,0.6957294714308453
144,ENSMUSG00000099013,ENSMUSG00000096852,16474558.0,0.8350049871393928
145,ENSMUSG00000097827,ENSMUSG00000084864,21551402.5,0.780277357558564
146,ENSMUSG00000072487,ENSMUSG00000109179,2559933.5,0.709419902056988
147,ENSMUSG00000038009,ENSMUSG00000022235,67521199.5,0.7941113896975215
148,ENSMUSG00000037085,ENSMUSG00000115276,24746084.5,0.6919353389273714
149,ENSMUSG00000022338,ENSMUSG00000058101,11028168.5,0.6361399749821348
150,ENSMUSG00000115522,ENSMUSG00000022596,21077041.0,0.6451254720116542
151,ENSMUSG00000084240,ENSMUSG00000000552,11795349.0,0.801185567088353
152,ENSMUSG00000022574,ENSMUSG00000098112,24762596.5,0.9092488537851579
153,ENSMUSG00000022324,ENSMUSG00000037003,67736932.0,0.8465866292330488
154,ENSMUSG00000003970,ENSMUSG00000115405,38510302.0,0.7109370427766479
155,ENSMUSG00000023032,ENSMUSG00000116121,21549825.0,0.7313011524152179
156,ENSMUSG00000116114,ENSMUSG00000056069,73696037.0,0.6337267375111704
157,ENSMUSG00000033029,ENSMUSG00000098528,19825820.5,0.737247168145045
158,ENSMUSG00000046034,ENSMUSG00000063480,54457397.5,0.6389899637479812
159,ENSMUSG00000022559,ENSMUSG00000022382,9021721.5,0.7961297618715222
160,ENSMUSG00000091780,ENSMUSG00000022339,44742396.5,0.8575135609765512
161,ENSMUSG00000106988,ENSMUSG00000022155,58050761.5,0.6405936203712961
162,ENSMUSG00000063727,ENSMUSG00000091492,27152822.5,0.7300425120595047
163,ENSMUSG00000022580,ENSMUSG00000022151,70507952.0,0.82943756040829
164,ENSMUSG00000054863,ENSMUSG00000097536,8557825.5,0.7921159944412607
165,ENSMUSG00000072511,ENSMUSG00000068117,16151698.5,0.6483028883061708
166,ENSMUSG00000035805,ENSMUSG00000084873,70209216.5,0.8359163181670365
167,ENSMUSG00000100967,ENSMUSG00000022433,5478527.0,0.7464282325614976
168,ENSMUSG00000061527,ENSMUSG00000090062,1009649.5,0.8410923833198964
169,ENSMUSG00000115969,ENSMUSG00000009575,27581740.5,0.62918769239138
170,ENSMUSG00000115938,ENSMUSG00000115568,72226733.5,0.6462124739093327
171,ENSMUSG00000009733,ENSMUSG00000115157,62941604.0,0.6458560653201386
172,ENSMUSG00000000531,ENSMUSG00000115317,68441017.0,0.7515394312505865
173,ENSMUSG00000116160,ENSMUSG00000022582,21341212.0,0.7499237442431139
174,ENSMUSG00000116223,ENSMUSG00000075470,8708548.0,0.6473737519495888
175,ENSMUSG00000044636,ENSMUSG00000116445,22090936.5,0.6850439958306022
