chrom,start,end
chr1,3185000.0,3225000.0
chr1,3225000.0,3295000.0
chr1,3295000.0,3545000.0
chr1,3545000.0,3665000.0
chr1,3665000.0,3865000.0
chr1,3865000.0,3985000.0
chr1,3985000.0,4155000.0
chr1,4155000.0,4235000.0
chr1,4235000.0,4335000.0
chr1,4335000.0,4485000.0
chr1,4485000.0,4675000.0
chr1,4675000.0,4765000.0
chr1,4765000.0,4865000.0
chr1,4865000.0,5065000.0
chr1,5065000.0,5175000.0
chr1,5175000.0,5305000.0
chr1,5305000.0,5585000.0
chr1,5585000.0,5735000.0
chr1,5735000.0,5905000.0
chr1,5905000.0,6145000.0
chr1,6145000.0,6185000.0
chr1,6185000.0,6405000.0
chr1,6405000.0,6695000.0
chr1,6695000.0,6875000.0
chr1,6875000.0,6995000.0
chr1,6995000.0,7085000.0
chr1,7085000.0,7135000.0
chr1,7135000.0,7215000.0
chr1,7215000.0,7305000.0
chr1,7305000.0,7395000.0
chr1,7395000.0,7595000.0
chr1,7595000.0,7645000.0
chr1,7645000.0,7775000.0
chr1,7775000.0,7915000.0
chr1,7915000.0,7975000.0
chr1,7975000.0,8095000.0
chr1,8095000.0,8145000.0
chr1,8145000.0,8185000.0
chr1,8185000.0,8275000.0
chr1,8275000.0,8425000.0
chr1,8425000.0,8585000.0
chr1,8585000.0,8665000.0
chr1,8665000.0,8765000.0
chr1,8765000.0,8955000.0
chr1,8955000.0,9105000.0
chr1,9105000.0,9155000.0
chr1,9155000.0,9205000.0
chr1,9205000.0,9335000.0
chr1,9335000.0,9445000.0
chr1,9445000.0,9545000.0
chr1,9545000.0,9705000.0
chr1,9705000.0,9775000.0
chr1,9775000.0,9945000.0
chr1,9945000.0,10245000.0
chr1,10245000.0,10395000.0
chr1,10395000.0,10515000.0
chr1,10515000.0,10625000.0
chr1,10625000.0,10765000.0
chr1,10765000.0,10945000.0
chr1,10945000.0,11005000.0
chr1,11005000.0,11065000.0
chr1,11065000.0,11135000.0
chr1,11135000.0,11195000.0
chr1,11195000.0,11395000.0
chr1,11395000.0,11585000.0
chr1,11585000.0,11655000.0
chr1,11655000.0,11755000.0
chr1,11755000.0,11855000.0
chr1,11855000.0,12025000.0
chr1,12025000.0,12075000.0
chr1,12075000.0,12155000.0
chr1,12155000.0,12605000.0
chr1,12605000.0,12695000.0
chr1,12695000.0,12845000.0
chr1,12845000.0,12995000.0
chr1,12995000.0,13045000.0
chr1,13045000.0,13145000.0
chr1,13145000.0,13385000.0
chr1,13385000.0,13525000.0
chr1,13525000.0,13585000.0
chr1,13585000.0,13665000.0
chr1,13665000.0,13785000.0
chr1,13785000.0,13875000.0
chr1,13875000.0,13945000.0
chr1,13945000.0,14025000.0
chr1,14025000.0,14325000.0
chr1,14325000.0,14385000.0
chr1,14385000.0,14515000.0
chr1,14515000.0,14745000.0
chr1,14745000.0,14985000.0
chr1,14985000.0,15195000.0
chr1,15195000.0,15285000.0
chr1,15285000.0,15545000.0
chr1,15545000.0,15635000.0
chr1,15635000.0,15795000.0
chr1,15795000.0,15905000.0
chr1,15905000.0,16005000.0
chr1,16005000.0,16095000.0
chr1,16095000.0,16185000.0
chr1,16185000.0,16285000.0
chr1,16285000.0,16425000.0
chr1,16425000.0,16695000.0
chr1,16695000.0,16775000.0
chr1,16775000.0,16875000.0
chr1,16875000.0,17145000.0
chr1,17145000.0,17255000.0
chr1,17255000.0,17355000.0
chr1,17355000.0,17425000.0
chr1,17425000.0,17645000.0
chr1,17645000.0,17795000.0
chr1,17795000.0,17895000.0
chr1,17895000.0,17935000.0
chr1,17935000.0,17985000.0
chr1,17985000.0,18115000.0
chr1,18115000.0,18285000.0
chr1,18285000.0,18555000.0
chr1,18555000.0,18715000.0
chr1,18715000.0,18785000.0
chr1,18785000.0,19045000.0
chr1,19045000.0,19195000.0
chr1,19195000.0,19275000.0
chr1,19275000.0,19535000.0
chr1,19535000.0,19655000.0
chr1,19655000.0,19725000.0
chr1,19725000.0,20045000.0
chr1,20045000.0,20165000.0
chr1,20165000.0,20305000.0
chr1,20305000.0,20545000.0
chr1,20545000.0,20605000.0
chr1,20605000.0,20675000.0
chr1,20675000.0,20755000.0
chr1,20755000.0,20825000.0
chr1,20825000.0,20945000.0
chr1,20945000.0,21025000.0
chr1,21025000.0,21085000.0
chr1,21085000.0,21155000.0
chr1,21155000.0,21285000.0
chr1,21285000.0,21345000.0
chr1,21345000.0,21395000.0
chr1,21395000.0,21555000.0
chr1,21555000.0,21725000.0
chr1,21725000.0,21975000.0
chr1,21975000.0,22025000.0
chr1,22025000.0,22265000.0
chr1,22265000.0,22535000.0
chr1,22535000.0,22585000.0
chr1,22585000.0,22805000.0
chr1,22805000.0,22885000.0
chr1,22885000.0,23185000.0
chr1,23185000.0,23385000.0
chr1,23385000.0,23535000.0
chr1,23535000.0,23595000.0
chr1,23595000.0,23695000.0
chr1,23695000.0,23815000.0
chr1,23815000.0,23915000.0
