,gene1,gene2,gene_dis,gene_dis_corr
0,ENSMUSG00000044626,ENSMUSG00000047714,9288667.0,-0.014345614723322185
1,ENSMUSG00000022900,ENSMUSG00000090386,40794481.0,-0.14119650524968033
2,ENSMUSG00000048939,ENSMUSG00000075122,9170656.5,0.4415847737070417
3,ENSMUSG00000096112,ENSMUSG00000116714,473202.0,-0.1321480102854529
4,ENSMUSG00000102101,ENSMUSG00000022840,20743635.0,0.08221688104021302
5,ENSMUSG00000014301,ENSMUSG00000068617,10323262.5,0.3233685234872086
6,ENSMUSG00000022905,ENSMUSG00000116738,13465761.0,0.33034446130323347
7,ENSMUSG00000064880,ENSMUSG00000068073,65953262.0,0.21425217228551421
8,ENSMUSG00000033149,ENSMUSG00000064565,34682734.5,0.14893450814022025
9,ENSMUSG00000116962,ENSMUSG00000022773,45523561.5,-0.05298956374265894
10,ENSMUSG00000022651,ENSMUSG00000023088,34454911.0,-0.3685450085479306
11,ENSMUSG00000104599,ENSMUSG00000022887,374310.5,0.04345478650809002
12,ENSMUSG00000116450,ENSMUSG00000022878,15277301.5,-0.39221762849304304
13,ENSMUSG00000058240,ENSMUSG00000051297,778905.5,0.35721596822160717
14,ENSMUSG00000116987,ENSMUSG00000095992,2439471.0,0.49714743644546955
15,ENSMUSG00000068075,ENSMUSG00000039903,1850349.0,0.16511390500191533
16,ENSMUSG00000085781,ENSMUSG00000116679,3273770.5,-0.26529445712336397
17,ENSMUSG00000022843,ENSMUSG00000097307,9114081.0,-0.2811339927137249
18,ENSMUSG00000051297,ENSMUSG00000116450,84613073.5,0.3471390261388588
19,ENSMUSG00000116297,ENSMUSG00000040820,62928557.0,-0.02534254971305895
20,ENSMUSG00000098143,ENSMUSG00000116481,51447077.5,0.5902892846262201
21,ENSMUSG00000093701,ENSMUSG00000022844,55961493.5,0.37161442235972725
22,ENSMUSG00000062082,ENSMUSG00000059920,19936014.5,-0.18243591118572086
23,ENSMUSG00000068074,ENSMUSG00000061080,47958177.5,-0.06434747720837504
24,ENSMUSG00000022811,ENSMUSG00000098043,11205481.5,-0.12108922825489486
